student_id,gender,study_hours_per_day,attendance_percent,previous_exam_score,parental_education,extracurricular_activity,sleep_hours,final_exam_score
S1116,Male,4.5,77.7,73.0,Bachelors,No,6.6,67.2
S1117,Female,4.7,78.9,51.5,High School,No,6.8,54.5
S1118,Female,6.8,84.2,65.4,Bachelors,No,7.5,79.7
S1119,Male,3.4,77.2,64.9,High School,No,7.6,66.1
S1120,Female,5.5,94.6,81.3,High School,No,,77.2
S1121,Male,4.1,73.1,72.1,Bachelors,Yes,6.9,63.7
S1122,Female,4.1,80.1,64.6,High School,No,7.3,74.0
S1123,Male,6.5,77.6,77.3,High School,No,8.5,91.6
S1124,Male,6.0,96.5,85.9,High School,Yes,7.6,83.4
S1125,Female,6.0,84.0,73.4,High School,No,7.7,73.2
S1126,Female,6.8,92.3,65.2,High School,No,6.9,81.4
S1127,Male,4.5,67.1,45.3,High School,Yes,8.5,59.3
S1128,Female,5.7,84.7,49.0,Masters,No,7.3,66.5
S1129,Female,3.9,90.9,60.4,Bachelors,No,5.8,70.2
S1130,Female,5.1,82.8,55.9,Bachelors,No,8.5,56.0
S1131,Male,4.3,92.7,62.2,High School,No,,79.3
S1132,Male,4.7,76.8,65.8,PhD,No,6.3,67.2
S1133,Male,5.6,96.1,72.9,Bachelors,No,6.2,73.9
S1134,Male,3.0,100.0,63.9,High School,No,7.2,67.1
S1135,Male,8.3,78.4,72.3,Bachelors,Yes,7.4,84.3
S1136,Male,2.7,77.5,66.0,High School,No,7.0,49.5
S1137,Male,2.3,96.5,35.4,High School,No,7.2,65.1
S1138,Male,6.6,97.8,50.9,Bachelors,Yes,8.8,78.9
S1139,Male,5.9,76.8,62.8,Masters,No,8.1,75.3
S1140,Female,5.6,77.8,46.9,Bachelors,No,7.0,70.9
S1141,Male,5.6,79.2,74.0,Masters,Yes,7.9,70.3
S1142,Female,4.5,68.6,88.0,PhD,No,5.6,74.1
S1143,Female,2.9,72.8,83.3,High School,No,7.3,65.7
S1144,Female,4.6,72.0,61.8,High School,No,9.0,73.8
S1145,Male,3.3,74.3,87.4,Bachelors,Yes,6.5,56.6
S1146,Male,6.3,81.7,67.2,Bachelors,Yes,5.8,74.1
S1147,Male,4.2,84.3,59.9,Bachelors,Yes,6.0,62.3
S1148,Male,3.0,97.5,55.8,Masters,No,5.5,64.8
S1149,Female,3.9,72.0,60.5,Masters,Yes,5.9,65.8
S1150,Male,5.2,91.8,59.2,Bachelors,No,6.4,65.0
S1151,Male,3.5,79.9,67.6,High School,Yes,5.1,59.5
S1152,Male,3.0,81.5,67.4,Masters,Yes,6.8,65.0
S1153,Male,4.9,88.7,65.0,PhD,No,7.9,66.2
S1154,Male,4.9,70.8,71.6,Masters,No,5.7,72.9
S1155,Female,3.6,85.8,82.9,High School,Yes,8.6,74.3
S1156,Male,3.7,83.7,79.2,Bachelors,No,7.4,51.2
S1157,Female,4.9,86.9,42.7,High School,Yes,8.0,63.7
S1158,Male,1.9,84.9,26.7,High School,No,6.0,38.4
S1159,Female,2.0,,79.0,High School,No,7.8,59.3
S1160,Male,3.2,75.6,44.5,Bachelors,Yes,5.5,46.3
S1161,Male,4.1,76.7,61.6,Bachelors,Yes,7.9,68.5
S1162,Female,5.1,75.8,47.4,High School,Yes,7.0,73.7
S1163,Female,7.2,76.4,38.0,Bachelors,No,7.5,68.9
S1164,Female,6.0,75.6,73.1,Bachelors,No,5.4,67.5
S1165,Male,4.2,93.9,76.4,Bachelors,Yes,5.7,77.4
S1166,Female,4.5,96.2,56.4,High School,No,7.5,66.2
S1167,Male,2.7,76.3,26.1,Bachelors,Yes,5.7,42.5
S1168,Male,4.5,73.7,56.8,Masters,Yes,7.4,57.7
S1169,Female,4.0,86.7,70.9,High School,No,5.2,54.8
S1170,Female,5.1,76.5,42.8,High School,No,7.8,59.4
S1171,Male,3.0,88.3,67.8,Bachelors,No,5.3,64.5
S1172,Male,5.4,84.0,64.8,PhD,No,7.5,71.5
S1173,Female,7.3,66.8,73.7,Bachelors,Yes,7.6,76.3
S1174,Female,4.3,97.5,66.8,Bachelors,No,6.0,63.9
S1175,Female,5.2,100.0,50.4,Bachelors,Yes,7.5,76.8
S1176,Male,5.7,75.9,82.9,Bachelors,No,7.1,67.7
S1177,Male,3.8,78.1,62.6,High School,Yes,6.2,70.3
S1178,Male,4.9,84.9,64.6,Bachelors,No,5.6,60.9
S1179,Male,4.5,85.3,51.0,Masters,Yes,4.4,56.9
S1180,Male,4.7,88.6,58.4,Bachelors,Yes,,60.2
S1181,Male,3.1,100.0,51.7,Masters,No,4.9,56.9
S1182,Female,4.5,80.2,62.4,Masters,Yes,6.9,75.5
S1183,Male,5.4,74.0,90.7,High School,No,6.5,80.9
S1184,Male,7.1,68.2,44.4,Masters,Yes,7.6,75.6
S1185,Male,6.2,74.7,40.8,High School,Yes,6.4,68.0
S1186,Female,8.4,81.7,87.1,Bachelors,Yes,6.4,81.7
S1187,Male,3.1,99.9,61.9,High School,Yes,7.7,67.8
S1188,Male,6.1,76.8,55.0,High School,No,7.2,63.3
S1189,Female,4.8,84.2,80.6,Bachelors,Yes,7.2,86.7
S1190,Male,8.4,81.8,55.9,High School,No,7.4,69.6
S1191,Male,3.0,93.9,92.4,Bachelors,No,5.0,79.2
S1192,Male,3.0,100.0,75.2,Bachelors,No,7.7,78.7
S1193,Male,3.4,76.7,57.7,High School,No,7.5,74.3
S1194,Male,0.7,77.1,97.4,High School,No,5.6,61.1
S1195,Female,3.6,92.4,55.9,Bachelors,No,6.5,68.9
S1196,Female,3.1,,76.1,High School,Yes,6.8,86.9
S1197,Female,4.8,100.0,69.5,Masters,Yes,,72.3
S1198,Male,5.1,87.8,84.5,Bachelors,No,7.2,67.9
S1199,Male,7.9,78.4,88.4,Masters,No,8.5,75.4
S1200,Male,6.2,87.9,65.5,Bachelors,No,8.1,81.9
S1201,Female,3.5,,53.7,Bachelors,No,5.2,47.9
S1202,Male,2.9,90.2,71.9,Bachelors,No,7.5,65.6
S1203,Male,5.4,87.1,54.8,High School,No,8.4,73.9
S1204,Female,2.1,92.7,95.2,High School,No,7.3,75.5
S1205,Male,7.8,93.7,67.0,Masters,Yes,8.1,89.0
S1206,Female,6.6,95.8,59.5,Bachelors,No,9.2,81.3
S1207,Female,3.7,88.5,67.8,Masters,Yes,8.0,80.6
S1208,female,1.4,80.3,44.8,Masters,Yes,7.1,46.2
S1209,Male,6.9,83.5,50.4,Masters,No,8.1,68.0
S1210,Male,4.3,94.1,83.0,Masters,Yes,7.0,73.4
S1211,Male,6.7,73.8,55.1,Bachelors,Yes,6.8,77.2
S1212,Male,1.6,85.7,49.3,High School,Yes,6.4,61.7
S1213,Male,3.4,78.1,73.0,Bachelors,No,8.7,72.2
S1214,Male,4.5,82.3,82.8,Bachelors,No,5.8,80.9
S1215,Male,4.6,94.8,75.8,Bachelors,No,8.6,69.6
S1216,Female,3.7,83.9,79.9,Masters,No,7.4,83.6
S1217,Male,5.6,82.5,53.6,Bachelors,No,5.1,75.6
S1218,Female,2.6,68.4,43.7,Bachelors,Yes,7.2,58.7
S1219,Male,4.2,89.5,87.5,High School,No,4.3,85.4
S1220,Male,4.7,88.5,60.2,Bachelors,No,7.6,58.0
S1221,Male,5.4,100.0,61.2,High School,No,7.9,71.9
S1222,Female,5.8,78.9,84.9,Masters,Yes,6.1,74.0
S1223,Female,2.5,84.2,73.3,High School,No,6.9,70.1
S1224,Female,1.7,84.5,71.8,High School,No,9.1,58.0
S1225,Female,6.8,97.8,97.5,High School,Yes,6.2,96.9
S1226,Male,5.1,81.0,55.3,Bachelors,No,,73.8
S1227,Female,3.2,84.8,78.9,Bachelors,Yes,8.6,78.8
S1228,Male,7.3,88.1,65.9,High School,Yes,,86.2
S1229,Male,4.7,83.9,69.0,High School,No,,63.4
S1230,Female,6.6,77.5,87.9,Bachelors,Yes,8.0,79.3
S1231,Female,4.6,83.9,72.6,High School,No,8.4,82.5
S1232,Female,8.2,92.7,73.1,Bachelors,No,5.9,89.3
S1233,Female,7.7,71.7,81.1,Bachelors,Yes,6.2,82.0
S1234,Female,4.1,83.3,59.5,Bachelors,No,8.3,64.3
S1235,Female,6.2,75.0,52.4,High School,Yes,8.8,57.9
S1236,Female,5.7,94.0,49.3,PhD,Yes,7.5,64.7
S1237,Female,7.0,66.8,35.5,Bachelors,Yes,5.7,75.5
S1238,Male,2.8,76.4,95.8,Bachelors,Yes,9.2,68.4
S1239,Female,5.7,85.8,48.5,High School,Yes,,69.3
S1240,Female,6.4,97.7,61.7,Bachelors,No,6.4,83.2
S1241,Male,1.3,81.3,60.8,High School,No,7.2,47.8
S1242,Female,2.4,76.4,69.6,Bachelors,Yes,8.7,67.5
S1243,Male,0.8,,77.2,PhD,No,7.8,72.8
S1244,Male,4.0,67.5,77.9,Bachelors,No,7.3,68.0
S1245,Female,5.8,60.0,56.3,High School,No,7.4,84.4
S1246,Male,7.2,86.4,62.5,High School,No,6.9,65.2
S1247,Male,4.6,77.0,69.2,Bachelors,Yes,7.5,78.9
S1248,Male,7.4,71.8,61.3,High School,Yes,3.8,69.6
S1249,Male,2.0,89.1,89.1,High School,No,6.4,74.9
S1250,Female,1.4,84.4,72.4,Masters,No,7.1,64.7
S1251,Male,4.4,76.4,76.0,Bachelors,Yes,5.4,64.7
S1252,Female,5.2,69.2,74.9,High School,Yes,7.3,74.7
S1253,Male,4.4,90.7,82.6,Masters,No,6.6,62.6
S1254,Male,0.8,88.5,67.7,High School,No,8.9,66.0
S1255,Male,4.3,81.0,45.5,PhD,No,8.7,65.1
S1256,male,2.2,100.0,71.0,High School,No,6.2,70.7
S1257,Female,5.7,71.3,55.2,Masters,Yes,6.6,74.7
S1258,Female,5.2,66.7,57.1,Bachelors,No,6.7,65.9
S1259,Male,2.8,75.1,73.8,Masters,No,6.3,64.1
S1260,Male,3.6,81.5,83.6,PhD,Yes,7.0,67.5
S1261,Female,2.6,84.4,65.3,High School,No,5.9,56.1
S1262,Male,4.4,79.6,69.6,PhD,No,,74.7
S1263,Male,6.2,85.5,90.5,Bachelors,Yes,7.5,96.2
S1264,male,2.7,69.5,68.6,Bachelors,No,7.6,59.8
S1265,Female,5.4,96.4,100.0,High School,No,5.8,85.4
S1266,Female,3.5,81.2,73.5,Bachelors,No,7.9,62.7
S1267,Female,3.1,93.2,38.6,High School,Yes,6.0,65.9
S1268,Male,4.3,85.4,76.3,Bachelors,Yes,,79.1
S1269,Male,2.6,86.6,70.7,Bachelors,No,7.8,80.0
S1270,Female,3.5,87.7,84.3,Masters,Yes,6.8,68.7
S1271,Female,2.3,86.5,75.1,Masters,No,7.3,63.6
S1272,Female,8.0,88.4,62.9,Bachelors,No,6.2,80.6
S1273,Female,4.6,95.3,46.6,High School,Yes,6.6,71.3
S1274,Male,3.2,84.0,61.9,High School,No,6.6,61.3
S1275,Female,4.9,89.1,52.2,High School,No,5.9,59.0
S1276,Male,4.3,81.1,56.3,High School,Yes,6.6,71.8
S1277,Female,4.1,96.4,73.8,High School,No,4.9,75.4
S1278,Male,5.6,75.2,90.0,High School,No,6.2,71.1
S1279,Female,5.9,100.0,70.9,PhD,No,6.5,87.9
S1280,Female,3.5,81.6,47.1,Bachelors,No,6.5,66.0
S1281,Female,3.5,67.7,71.7,High School,No,6.5,63.9
S1282,Female,4.0,83.3,82.9,Bachelors,No,6.7,73.2
S1283,Male,0.4,75.2,55.9,High School,No,,54.6
S1284,Female,1.8,90.4,63.0,Bachelors,No,7.8,56.1
S1285,Male,7.0,75.5,65.2,Bachelors,No,6.0,73.3
S1286,Male,7.5,77.5,53.2,Bachelors,Yes,5.4,57.0
S1287,Male,4.1,63.1,74.7,Bachelors,No,5.5,69.4
S1288,Male,5.5,77.5,63.2,PhD,Yes,6.2,59.5
S1289,Female,5.1,57.8,71.3,Masters,Yes,6.4,77.8
S1290,Male,10.0,66.2,51.7,Bachelors,Yes,5.9,75.2
S1291,Male,6.5,89.6,58.4,Bachelors,No,5.2,70.0
S1292,Male,4.3,89.9,75.8,Bachelors,No,6.3,67.8
S1293,Female,2.8,86.3,59.4,High School,No,7.0,59.8
S1294,Female,1.6,72.3,90.9,Bachelors,No,7.5,76.2
S1295,Female,4.9,81.5,59.0,High School,No,6.1,48.4
S1296,Female,3.1,82.0,68.4,Bachelors,No,6.3,72.7
S1297,Male,1.9,70.4,79.0,Bachelors,No,5.7,62.2
S1298,Male,3.3,97.0,43.7,High School,Yes,6.8,53.9
S1299,Female,2.6,90.8,38.6,PhD,Yes,5.8,47.7
S1300,Male,7.5,79.8,42.1,Masters,No,7.5,81.7
S1301,Male,6.1,82.3,83.9,Masters,No,4.7,69.9
S1302,Male,4.5,84.1,56.7,Bachelors,Yes,6.4,58.8
S1303,Female,7.2,61.6,100.0,Masters,Yes,7.2,94.2
S1304,Female,4.6,79.5,56.5,High School,No,7.0,67.2
S1305,Male,2.9,75.2,67.8,Masters,Yes,10.0,62.2
S1306,Female,7.2,72.0,88.1,High School,No,7.2,84.2
S1307,Female,5.5,79.2,95.1,Masters,No,5.6,71.9
S1308,Female,2.6,100.0,95.9,High School,No,6.7,84.6
S1309,Female,4.2,88.4,83.1,Masters,Yes,4.7,81.1
S1310,Female,2.9,76.3,80.4,PhD,No,6.7,70.3
S1311,Male,2.0,87.7,73.9,High School,No,5.8,65.4
S1312,Female,6.2,96.0,76.7,Bachelors,No,7.9,94.9
S1313,Male,7.9,91.2,56.7,PhD,No,6.1,77.1
S1314,Male,2.0,82.6,52.7,Bachelors,Yes,6.7,49.3
S1315,Female,5.5,75.5,64.9,Masters,No,6.0,71.3
S1316,Male,3.3,89.0,62.4,Bachelors,No,8.9,82.6
S1317,Male,3.6,85.9,58.2,Bachelors,No,6.4,55.9
S1318,Male,3.4,91.0,75.4,High School,Yes,9.0,73.0
S1319,Female,2.9,88.4,79.3,High School,No,7.8,73.8
S1320,Female,4.6,92.5,66.3,Masters,No,7.4,71.8
S1321,Male,3.0,76.6,87.2,Bachelors,Yes,7.2,65.2
S1322,Female,5.0,95.2,47.9,Bachelors,Yes,7.3,77.4
S1323,Female,4.4,84.0,62.1,Bachelors,No,4.5,79.8
S1324,Female,4.1,100.0,54.2,Bachelors,Yes,6.5,70.2
S1325,Female,2.9,75.1,37.0,Masters,Yes,7.8,48.4
S1326,Male,3.5,99.4,63.8,PhD,Yes,6.7,59.6
S1327,Male,5.9,84.0,63.2,Bachelors,No,5.1,71.5
S1328,Female,5.4,75.5,87.7,Masters,No,6.7,84.6
S1329,Female,2.7,77.2,74.5,Masters,No,8.8,70.5
S1330,Male,4.7,78.8,49.6,Bachelors,Yes,8.3,66.5
S1331,male,5.9,86.2,92.8,PhD,No,6.7,78.8
S1332,Female,1.5,87.2,83.3,High School,No,7.9,60.0
S1333,Male,5.5,76.3,73.7,High School,No,6.4,77.9
S1334,Female,3.3,81.8,61.6,Masters,No,4.8,66.2
S1335,Female,5.5,100.0,50.6,Bachelors,Yes,5.7,60.0
S1336,Male,3.1,99.3,59.4,Masters,No,8.7,79.7
S1337,Male,1.3,86.4,81.3,Masters,Yes,6.5,70.0
S1338,Female,1.6,82.4,93.3,High School,No,6.5,77.9
S1339,Female,4.6,83.2,88.1,Masters,Yes,6.4,68.6
S1340,Male,5.0,88.1,57.7,Bachelors,Yes,9.1,64.3
S1341,Female,2.9,,48.2,Bachelors,Yes,8.8,58.3
S1342,Male,5.6,79.4,67.1,Bachelors,No,9.5,79.0
S1343,female,1.5,65.3,38.5,PhD,Yes,6.6,59.1
S1344,Male,4.4,,69.8,High School,No,7.2,75.8
S1345,Male,2.3,88.5,62.8,Bachelors,No,5.0,57.3
S1346,Male,3.3,77.2,58.0,Bachelors,Yes,8.6,57.9
S1347,Female,4.6,97.7,41.1,Masters,No,5.4,70.2
S1348,Female,3.0,69.7,72.7,Bachelors,Yes,7.1,58.4
S1349,Male,3.8,67.4,57.0,High School,No,5.5,68.6
S1350,Female,6.3,84.2,47.5,High School,No,6.1,65.0
S1351,Male,3.5,92.5,21.9,Bachelors,Yes,5.8,63.8
S1352,Male,6.0,98.8,64.6,Masters,Yes,6.1,82.4
S1353,Female,2.5,77.4,91.6,High School,Yes,6.2,69.8
S1354,Female,5.5,92.8,89.9,High School,No,6.1,77.8
S1355,Male,7.1,81.6,58.1,PhD,No,7.8,72.8
S1356,Female,0.1,80.3,56.0,High School,No,5.5,51.2
S1357,Female,3.1,90.8,72.0,PhD,No,7.1,69.0
S1358,Male,5.5,88.5,50.0,Bachelors,Yes,8.3,67.5
S1359,Male,4.1,66.2,69.5,Masters,No,6.2,62.1
S1360,Female,5.2,96.8,76.5,High School,No,5.9,77.0
S1361,Male,3.4,95.8,83.4,High School,Yes,6.5,60.9
S1362,Male,4.7,75.7,63.5,Masters,Yes,8.2,73.7
S1363,Female,4.2,86.0,61.9,Masters,Yes,7.0,62.2
S1364,Male,6.6,86.9,51.8,Masters,No,,62.2
S1365,Male,5.0,84.6,52.6,High School,No,7.4,54.8
S1366,Female,5.1,76.5,61.6,Masters,Yes,5.5,54.7
S1367,Female,3.8,,70.5,Masters,No,7.6,57.6
S1368,Male,3.6,81.7,78.7,Bachelors,Yes,7.3,67.5
S1369,Male,3.7,93.7,53.0,Masters,No,6.4,77.1
S1370,Female,5.2,87.4,87.4,Masters,Yes,5.8,76.1
S1371,Female,3.7,78.3,60.9,Bachelors,No,5.7,62.5
S1372,female,5.0,89.7,64.7,High School,No,7.4,75.0
S1373,Female,8.2,53.5,53.8,Bachelors,No,8.3,71.8
S1374,Male,6.1,93.5,28.6,High School,No,6.0,61.4
S1375,Female,3.9,64.6,78.3,Bachelors,Yes,,60.8
S1376,Female,6.7,78.4,76.1,Bachelors,Yes,4.3,86.3
S1377,Male,3.8,70.8,60.8,High School,Yes,6.1,74.9
S1378,Female,0.8,69.1,66.0,High School,Yes,6.8,43.4
S1379,Male,2.7,93.6,72.7,High School,No,,58.9
S1380,Female,1.1,77.3,41.6,Masters,Yes,5.7,46.0
S1381,Female,3.9,85.5,57.1,PhD,Yes,6.0,58.1
S1382,Female,4.5,81.5,76.9,High School,No,7.2,76.0
S1383,Male,7.5,86.8,46.2,PhD,No,6.6,66.7
S1384,Male,5.1,82.8,69.4,Bachelors,No,4.1,82.6
S1385,Female,4.1,69.2,44.7,High School,Yes,4.3,62.8
S1386,Male,6.0,92.0,72.0,High School,Yes,6.1,80.0
S1387,Male,0.5,77.1,64.5,Bachelors,No,7.3,61.6
S1388,male,4.9,66.4,40.8,Masters,Yes,3.5,61.6
S1389,Male,5.9,77.7,82.5,Masters,Yes,6.2,74.5
S1390,Male,1.8,97.0,54.0,High School,No,6.2,52.5
S1391,Male,6.6,90.5,52.8,High School,No,8.5,75.5
S1392,Female,5.1,78.5,68.0,Bachelors,No,6.3,75.2
S1393,Female,3.8,78.5,82.2,High School,Yes,7.3,74.5
S1394,Male,5.6,78.8,49.8,High School,Yes,7.0,56.5
S1395,Female,8.6,100.0,65.9,High School,No,4.2,76.3
S1396,Female,4.8,85.8,71.4,Masters,Yes,7.7,74.8
S1397,Female,4.9,86.3,75.4,PhD,No,7.1,73.8
S1398,Female,3.7,92.3,67.6,Bachelors,No,7.4,83.5
S1399,Male,3.0,84.4,59.5,Masters,No,10.0,56.8
S1400,Female,6.0,79.4,52.6,High School,Yes,4.3,69.4
S1401,Female,3.0,80.0,66.3,Bachelors,Yes,8.9,78.6
S1402,Male,4.6,81.3,48.9,High School,No,6.5,77.8
S1403,Male,3.6,81.6,21.2,Bachelors,No,7.1,47.2
S1404,Female,5.4,89.3,71.5,PhD,No,6.7,78.1
S1405,Female,5.1,82.5,78.6,Bachelors,Yes,6.3,79.9
S1406,Female,6.4,89.3,29.6,Bachelors,Yes,6.1,65.7
S1407,Female,3.6,81.2,49.9,Bachelors,No,7.2,59.4
